id,project_id,code,description
1000,10,OC.0,"The largest no-take MPA in the Atlantic is secured and supported with a major endowment fund that provides permanent income (4-5% annual return) to the Ascension Island community, and global research activities in the MPA are attracted and established using a media campaign."
1100,11,OC.0,"Enhance the Category VI MPA to include highly protected zoned areas, build local capacity, increase ocean literacy and champion conservation action among the St Helena community."
